id,type
159,"ROBCR - Robkar (Crim.)"
160,"OSA - Original Side Appeals"
161,"COS - Civil Original Suits"
162,"CPCOS - Contempt Petition (Cos)"
163,"CPCOS - Contempt Cos"
164,"RESCO - Restoration Appl. (Cos)"
165,"CONCO - Condonation Cos"
166,"PAPCO - Pauper Application (Cos)"
167,"CCROS - Cross Appeal (Civil)"
168,"COACO - Civil Original Appl.(Cos)"
169,"APCOS - Application In Cos"
170,"COSTA - Transfer Application (Cos)"
171,"HCP - Habeas Corpus Petition"
172,"CPHCP - Contempt Habeus Corpus"
173,"RESHC - Restoration (Hcp)"
174,"APHCP - Application (Hcp)"
175,"RPHCP - Review In Hcp."
176,"ROBHC - Robkar (Hcp)"
177,"CPPIL - Contempt Public Interest Litigation (OWP)"
178,"MCC - Misc. Civil Cases"
179,"CDLHCP - Cond.Of Delay (LPAHCP)"
180,"AA-11 - Arb. Appl. U/S 11"
181,"AAPL-37 - Arb. Apeal U/S 37"
182,"AP - Arbitration Petition"
183,OSMA
184,"ETA - Excis Tax Appeal"
185,"CEA - Central Excise Act Appeal"
186,"CDR - Custom Duty Reference"
187,"TP - Transfer Application"
188,"REF - Refrence"
189,"SLA - Special Leave To Appeal U/S 417(4)Cr.P.C"
190,"EXP - Execution Petition"
191,"VATA - Vat Application"
295,RP
296,LSC
297,LPA
299,"CrlM - Criminal Misc"
300,"WP(C) - Writ Petition"
301,"CCP(D) - Contempt Petition-Db"
302,"Crl CP - Contempt Petition Crl-Db"
303,"CCP(S) - Contempt Petition-S.B"
304,"Arb App - Arbitration Appeal-Db"
305,"CrlA(D) - Criminal Appeal-Db"
306,"CrlA(S) - Criminal Appeal-SB"
307,"CrlA(AD) - Criminal Acquittal Appeal-Db"
308,"CrlA(AS) - Criminal Acquittal Appeal-SB"
309,"Crl Ref(L) - Criminal Reference-Life Imprisonment"
310,"Crl Ref(D) - Criminal Reference-Death"
311,"Ref(Crl) - Criminal Reference-SB"
312,"FAO(D) - Civil 1St Misc. Appeal-Db"
313,"Mac App - 1St Misc. Appeal-SB Motor Accident Claim"
314,"FAO(WC) - 1St Misc. Appeal-SB Workmen Compensation Act"
315,"FAO(CP) - 1St Misc. Appeal- Sb Consumer Protection Act"
316,"FAO - 1St Misc. Appeal-SB Family Law"
317,"FAO(MAT) - 1St Misc. Appeal- Sb Family Court Act"
318,"RFA(OS) - Original Side Appeal -Db Against Final"
319,"FAO(OS) - Original Side Appeal -Db Against Interim"
320,"WP(C)PIL - Public Interest Litigation -Db"
321,"Cus TR - Tax Reference-Db Custom Duty Reference"
322,"EA - Excise Tax Appeal -Db"
323,"Crl LP - Special Leave Application -Db"
324,"TA - Transfer Application U/S 105 Of Constitution Of JK -Db"
325,"Con Ref - Reference U/S 130 Of Constitution Of Jk -Db"
326,"RSA - Civil 2Nd Appeal -SB"
327,"Bail App - Bail Application -SB"
328,"WP(Crl) - Habeas Corpus Petition -SB"
329,"Arb P - Arbitration Petitions -SB"
330,"TrP (C) - Civil Transfer Application -SB"
331,"TrP (Crl) - Criminal Transfer Application -SB"
332,"Ref (C) - Civil Reference -SB"
333,"Crl R - Criminal Revision -SB"
334,"CS(OS) - Civil Original Suit -SB"
335,"CRM(M) - Misc Criminal Cases-SB"
336,"RFA - 1St Appeal-S.B"
337,"Cr.Obj - 1St Appeal-Cross Appeal"
338,"CEC - Central Excise Cases"
339,"ITC - Income Tax Cases"
340,"STC - Sales Tax Cases"
342,"VAT(C) - Vat Cases"
343,"VAT(R) - Vat References"
344,"ConApp - Appeal In Contempt Petitions"
345,"EFA - Execution First Appeal"
346,"ESA - Execution Second Appeal"
347,"FAO(FSS) - Appeals Under Food Safety And Standards Act"
348,"CM(M) - Writ Petition U/S 104 Of Constitution Of J And K"
349,"CCP - Contempt Suo Moto"
350,"Crl LP(D) - Special Leave Application -DB"
351,"Crl LP(S) - Special Leave Application -SB"
